ram_gb,storage_gb,age_years,screen_in,cpu_score,battery_health,listing_views,price
16,256,0,13.3,20867,95,426,2246.99
32,512,6,15.0,13949,70,144,1873.79
16,1024,5,13.6,7800,75,643,1388.0
4,512,3,13.7,19186,82,98,1736.64
4,1024,3,15.7,15461,82,650,1690.97
8,512,6,14.7,12331,72,899,1303.47
4,1024,0,17.0,18619,95,688,2185.42
16,128,5,14.4,16986,81,412,1739.16
4,512,1,16.1,23937,92,286,2255.2
16,256,0,15.0,24879,100,785,2459.23
16,512,4,15.8,10256,80,235,1395.63
16,512,7,15.6,11887,69,436,1389.98
8,1024,5,15.0,14215,72,694,1529.87
16,1024,6,17.1,6384,80,830,1242.7
16,256,5,14.5,12927,82,829,1468.03
16,512,6,13.8,12294,74,83,1484.96
4,512,4,15.9,16468,77,808,1565.69
4,256,1,16.6,20732,96,107,1874.55
32,128,6,13.2,12074,69,528,1598.02
8,128,3,14.9,21021,92,837,1879.1
8,512,4,16.8,18478,85,591,1808.99
8,256,2,16.2,9799,91,853,1319.87
16,1024,1,17.3,19248,86,313,2258.53
32,256,7,15.3,8906,65,286,1419.57
8,1024,6,15.8,5944,76,296,992.93
32,256,5,14.3,13283,82,322,1758.9
4,512,3,17.1,20346,91,616,1941.32
16,128,6,14.6,7940,67,409,1028.04
16,512,4,16.2,15809,83,664,1713.59
4,512,3,14.7,13853,91,377,1522.32
4,1024,3,15.4,14584,80,280,1687.76
8,512,1,16.1,24632,95,175,2331.32
32,128,0,15.2,20372,100,498,2384.29
16,256,4,16.9,16187,81,809,1767.26
32,128,7,14.8,3786,61,773,964.36
16,128,0,15.8,27587,99,231,2624.17
8,512,6,14.5,13008,72,432,1286.98
16,512,6,14.8,10653,72,636,1282.39
4,512,2,14.9,20127,89,553,1895.74
4,1024,5,13.5,8771,76,65,1161.93
16,512,1,13.4,23748,95,533,2365.91
16,512,6,15.9,10228,75,39,1349.03
8,128,5,15.8,12388,76,109,1244.04
16,256,2,15.9,16925,89,590,1924.51
16,512,0,13.1,20258,100,96,2249.93
32,1024,7,14.4,11484,61,308,1683.94
16,128,3,13.9,17368,88,531,1773.24
8,512,7,16.3,11355,68,591,1122.0
8,512,5,16.7,12974,78,403,1421.47
8,128,6,14.1,12740,77,89,1206.42
16,256,6,15.9,9943,65,720,1119.49
32,1024,1,13.6,26889,88,855,2956.11
8,512,2,14.2,13696,92,800,1564.12
8,256,3,13.6,20383,86,674,1930.21
8,1024,3,14.2,20704,87,364,2020.53
16,256,0,15.9,19444,98,789,2095.79
16,1024,4,16.9,21488,85,441,2305.48
4,256,1,13.9,23186,99,127,2150.23
4,512,5,15.3,15913,79,766,1470.58
16,256,5,16.0,13084,76,291,1456.76
4,256,7,17.1,8748,60,845,905.73
16,1024,5,15.6,12372,81,334,1548.44
8,256,2,14.1,19572,96,783,1825.07
4,128,7,15.7,13604,71,485,1145.41
32,256,3,14.4,17144,83,423,2167.44
8,512,2,17.2,15666,94,270,1742.93
8,512,7,14.7,11873,72,752,1215.82
8,1024,2,15.9,21163,97,59,2256.93
4,256,0,13.1,23964,96,424,2253.32
4,256,3,14.7,18836,86,335,1692.49
4,128,6,16.8,10387,76,491,1036.15
8,512,1,15.6,17413,96,232,1969.86
4,1024,3,14.9,13995,82,599,1546.61
16,512,1,17.0,15294,97,350,1974.74
16,512,5,16.7,13711,80,173,1563.33
8,256,3,14.4,16350,87,181,1641.9
8,1024,2,15.3,17080,92,628,1934.7
16,256,1,15.1,11333,94,239,1561.86
32,128,4,15.7,11058,88,279,1654.56
32,256,5,14.4,16363,74,566,1952.64
4,128,7,14.1,7406,66,300,790.38
8,256,3,16.9,17682,87,352,1742.53
8,128,1,17.0,16028,99,223,1746.48
8,256,6,16.6,15516,67,314,1442.01
16,512,5,17.2,12568,72,625,1478.62
8,256,5,16.2,13870,69,482,1396.19
4,256,0,16.3,28977,100,897,2552.99
8,1024,2,16.3,22949,87,695,2397.69
16,512,6,15.1,10280,71,20,1291.96
4,512,6,15.0,9420,76,344,1034.88
16,256,3,14.0,15623,84,264,1755.14
4,1024,6,15.8,12730,74,530,1416.16
32,256,6,14.2,10884,72,242,1538.04
4,256,3,14.1,15414,89,869,1495.91
16,1024,7,15.5,13802,70,272,1624.77
32,512,2,14.8,18057,88,472,2255.92
32,512,1,13.9,27099,95,115,2870.32
16,512,5,16.5,13272,82,819,1584.9
16,512,5,16.7,18356,79,821,1919.6
16,256,1,13.7,21272,90,715,2143.54
16,256,6,13.0,14089,76,319,1387.64
4,256,1,14.4,18026,91,57,1691.7
16,256,6,16.4,8639,79,641,1133.76
16,1024,0,16.6,23379,100,389,2543.41
32,256,6,13.6,14166,74,891,1748.98
8,512,6,16.3,11321,74,629,1201.3
8,512,6,13.5,7341,72,487,942.35
16,512,5,14.7,8919,80,888,1261.58
8,256,3,17.3,12319,85,721,1407.12
4,256,5,13.8,7697,78,415,975.32
8,1024,2,13.7,18728,94,21,2056.56
8,512,6,14.8,14575,71,88,1417.75
8,512,4,15.7,14760,80,402,1537.56
8,1024,3,17.0,9819,82,507,1436.81
8,512,4,17.2,14228,78,31,1549.19
8,256,4,13.3,14312,75,118,1444.69
8,512,0,13.6,28288,100,635,2546.18
16,128,1,16.4,15829,100,677,1873.0
8,512,1,14.2,19028,100,31,1907.82
32,1024,0,16.8,27118,93,459,3098.15
32,512,3,15.9,17950,89,77,2284.29
8,256,5,13.5,14690,83,652,1414.2
